timestamp,frameNum,error,gesturePresence,gesture,ktoGesture,gestureFeatures_0,gestureFeatures_1,gestureFeatures_2,gestureFeatures_3,gestureFeatures_4,gestureFeatures_5,gestureFeatures_6,gestureFeatures_7,gestureFeatures_8,gestureFeatures_9,gestureFeatures_10,gestureFeatures_11,gestureFeatures_12,gestureFeatures_13,gestureFeatures_14,gestureFeatures_15,procTimeData_interFrameProcTime,procTimeData_transmitOutTime,powerData_power1v8,powerData_power3v3,powerData_power1v2,powerData_power1v2RF,tempData_tempRx,tempData_tempTx,tempData_tempPM,tempData_tempDIG,presenceThreshold
1757482647768.768,12794,0,0,,,,,,,,,,,,,,,,,,,107,2139,1200,0,658,913,38,41,41,37,688
1757482648293.606,12795,0,0,,,,,,,,,,,,,,,,,,,107,2140,1200,0,658,913,38,41,41,36,556
1757482654531.1392,12901,0,1,0,0,31.48780059814453,0.441840261220932,-34.14002990722656,34.1234245300293,0.0,0.5014304518699646,-4.132081031799316,55.95265197753906,76.95555877685547,-0.2641904354095459,0.11156304180622101,-0.01515658013522625,-4.094428062438965,3.6507489681243896,9.665861129760742,5.216449737548828,5600,2983,1200,0,658,913,39,42,41,43,0
1757482654561.1768,12902,0,1,0,0,31.469919204711914,0.6096833348274231,-33.966854095458984,34.432098388671875,0.0,-0.7628520727157593,0.2522158622741699,85.18681335449219,86.8492202758789,-0.1620640903711319,0.2515159845352173,0.10038959234952927,-4.5736589431762695,3.0371406078338623,4.402281284332275,-1.5852967500686646,5543,2983,1200,0,658,913,40,42,41,43,0
1757482654591.9739,12903,0,1,0,0,31.480131149291992,0.706092894077301,-34.25200653076172,34.70036697387695,0.0,-2.9317550659179688,-0.7399960160255432,82.18305206298828,56.88554382324219,-0.092815101146698,0.31698083877563477,-0.016749976202845573,-4.292943954467773,3.446840286254883,3.8182308673858643,-2.795506238937378,5605,2983,1200,0,658,913,40,42,41,43,0
1757482654624.4204,12904,0,1,0,0,31.418312072753906,1.0732090473175049,-33.90517807006836,34.66365432739258,0.0,1.1026841402053833,-0.6340624690055847,75.56295013427734,55.855682373046875,-0.011264248751103878,0.2872709333896637,-0.024679355323314667,-4.229742050170898,3.263684034347534,3.611642599105835,-1.81265127658844,5462,2983,1200,0,658,913,39,42,41,43,0
1757482654656.6948,12905,0,1,0,0,31.468093872070312,0.9409581422805786,-34.412052154541016,34.62565994262695,0.0,-1.7699507474899292,-0.09369458258152008,97.78992462158203,53.26028823852539,0.004526395816355944,0.27301058173179626,-0.19836366176605225,-3.4720253944396973,2.022251844406128,3.149933099746704,-1.1639498472213745,5619,2983,1200,0,658,913,39,42,42,43,0
1757482654688.3105,12906,0,1,0,0,31.44762420654297,0.863112211227417,-34.2099609375,34.66269302368164,0.0,-2.3331098556518555,-1.3296619653701782,80.93798065185547,65.69554901123047,0.05378217250108719,0.22957171499729156,-0.26552537083625793,-3.494124174118042,1.3145495653152466,2.690336227416992,-1.2016246318817139,5619,2983,1200,0,658,913,39,42,41,43,0
1757482654720.3655,12907,0,1,0,0,31.533796310424805,0.3436451256275177,-34.482521057128906,34.704471588134766,0.0,-0.3424437344074249,-1.4875402450561523,77.18678283691406,96.02556610107422,-0.018651358783245087,0.2559639513492584,-0.2826583683490753,-3.977447032928467,0.6240296363830566,2.3975539207458496,-1.951460599899292,5622,2983,1200,0,658,913,39,42,41,43,0
1757482654751.7417,12908,0,1,0,0,31.480680465698242,0.3479234576225281,-34.565574645996094,34.386470794677734,0.0,-4.743981838226318,-0.37744858860969543,55.3511848449707,97.47384643554688,0.009403260424733162,0.2650364637374878,-0.23889175057411194,-3.898735523223877,-1.693901777267456,2.4603967666625977,-2.181767225265503,5542,2982,1200,0,658,913,40,42,41,43,0
